texto,estrela,positivo,categoria,preco,frete,dias_entrega,dias_estimado,atrasou
Entrega no prazo e tudo certo com o produto.,5,1,watches_gifts,35.0,7.39,8,18,0
"",5,1,watches_gifts,249.99,12.95,2,13,0
"Detestei o produto, chegou avariado, todo torno e sem nenhuma graciosidade e beleza, já pedi cancelamento, aguardo providências, reclamei em site especializado e pretendo ajuizar uma ação judicial.",1,0,fashion_bags_accessories,270.0,27.17,18,42,0
Produto veio com parte amassada e descascada.,4,1,housewares,194.9,26.86,7,23,0
"então; adorei entrega rapida, produto ótimo do jeitinho que eu esperava, valeu mesmo, o unico probleminha, ... uma peça veio quebrada.
",4,1,furniture_decor,69.9,16.12,12,25,0
"",5,1,sports_leisure,23.9,18.27,4,15,0
"",5,1,christmas_supplies,38.9,18.37,7,29,0
"",5,1,baby,269.99,22.54,5,20,0
Ótimo preço eproduto,5,1,electronics,13.65,14.1,18,27,0
"",5,1,sports_leisure,65.0,16.89,12,28,0
Adoro comprar no baratheonr sempre compre e sempre recebo a mercadoria antes do prazo.muito bom eu recomendo.,5,1,cool_stuff,427.0,49.52,15,31,0
Um bom produto. ,3,0,housewares,30.0,9.34,8,19,0
"",,0,health_beauty,120.0,13.75,6,18,0
Tudo certo com produto e entrega antes do prazo! ,5,1,small_appliances,49.1,18.23,11,24,0
"",3,0,electronics,369.9,29.45,21,21,0
"",5,1,auto,179.49,10.07,3,16,0
"",3,0,electronics,18.9,37.04,15,28,0
"",5,1,sports_leisure,33.5,22.16,7,44,0
Super rápido a entrega recomendar muito,5,1,telephony,39.99,37.04,3,28,0
"Produto chegou corretamente, foi entregue antes do prazo.",5,1,construction_tools_lights,45.0,7.39,6,13,0
"",5,1,housewares,138.0,25.81,8,23,0
"",4,1,computers_accessories,149.99,40.38,21,29,0
"Produto original com preço excelente, recomendo.",5,1,computers_accessories,89.3,17.07,15,37,0
"Até agora estou satisfeito, parece bom, recomendo!",4,1,bed_bath_table,55.6,17.96,14,28,0
Produto chegou muito rápido e sem nenhum problema,5,1,toys,94.9,7.92,4,13,0
"O produto chegou antes do prazo. Isso é muito bom! Mas tenho uma reclamação a fazer. A embalagem do produto (lata) veio amassada. Não apresentou nenhuma avaria no produto, apenas na embalagem (lata).",4,1,watches_gifts,539.0,11.03,8,21,0
Amei simples assim!!!,5,1,health_beauty,89.99,17.07,11,27,0
"",5,1,sports_leisure,300.0,25.92,16,32,0
Produto de qualidade ,5,1,construction_tools_lights,179.99,15.57,10,17,0
Não recebi o kit transmissão ainda...,1,0,auto,139.0,32.06,3,29,0
"ótimo produto, entrega rápida.",5,1,garden_tools,59.9,17.67,11,27,0
"",5,1,fixed_telephony,109.9,22.7,14,34,0
"Entregou bem antes do prazo, serviço ótimo. ",5,1,health_beauty,54.0,14.69,5,26,0
"Eu acabei com o preconceito de comprar na internet, está compra será a primeira de muitas
",5,1,home_confort,109.9,12.27,13,25,0
"",4,1,fashion_bags_accessories,49.0,22.06,35,29,1
Comprei dois arranhadores e somente um foi entregue ,1,0,pet_shop,49.9,26.43,16,25,0
"Tive que pegar nos correios, e na caixa só havia uma cadeira sendo que eu comprei duas!!! Vou processar!",1,0,office_furniture,139.98,36.21,30,42,0
"",5,1,computers_accessories,61.9,15.18,6,22,0
"",5,1,health_beauty,330.0,10.07,10,12,0
Só poderia entregue os 2produto junto.fora isto muito bom chegou antes do prazo .agora vou espera meu outro pedido chegar vou compra mais gostei muito. ,5,1,housewares,159.99,41.07,3,18,0
Recebi rapidamente o produto,5,1,auto,318.98,9.1,3,17,0
"",5,1,computers_accessories,35.99,8.72,2,10,0
"excelente empresa recomendo a todos.
O produto foi entregue antes do prazo!!!",5,1,furniture_decor,99.8,13.04,8,20,0
GOSTEI MUITO...,1,0,fashio_female_clothing,149.9,16.81,35,46,0
O produto veio faltando algumas peças a empresa se prontificou a envia las estou aguardando ,3,0,office_furniture,169.99,23.5,27,50,0
"",4,1,stationery,39.99,11.85,12,22,0
Soh chegou 1 capa,3,0,bed_bath_table,58.99,26.71,7,14,0
"Paguei o frete, porém, não vêm em casa o produto, outra coisa a foto do produto foi uma, o que foi entregue foi outro produto. Que por sua vez não veio pronto pra ser usado, tive que cortar pra usar.",3,0,cool_stuff,110.0,24.9,18,23,0
"PRODUTO FOI ENTREGUE COM DEFEITO, FIZEMOS RECLAMAÇÃO 5 MINUTOS APOS RECEBERMOS, RECLAMAMOS NO lannister.COM E NO PARECEIRO - WORD TONEER DA lannister. 72 HORAS APOS, NENHUMA SOLUÇÃO ",1,0,computers_accessories,133.0,19.82,7,14,0
Recebi o produto corretamente e dentro do prazo definido.,5,1,home_appliances,26.0,18.23,8,21,0
"",5,1,baby,64.9,11.95,8,20,0
"",4,1,electronics,18.0,11.85,11,24,0
"Bom dia, fiz várias compras pelo site e até agora foi o único produto que não foi entregue.",5,1,housewares,87.0,20.1,39,35,1
"excelente produto, entrega super agil",5,1,electronics,103.9,18.31,6,37,0
"",5,1,computers_accessories,90.0,19.6,7,35,0
"Produto chegou em ordem, vendedor cumpriu o anúncio. Muito agradecido",5,1,health_beauty,14.49,7.87,10,24,0
"Produto muito bom, eu recomendo.",5,1,bed_bath_table,158.0,25.95,11,33,0
Produto entregue dentro de embalagem do fornecedor sem os parafusos de fixação das partes.,1,0,electronics,12.25,7.78,9,15,0
Ainda não abri o pacote pois vou dar de prsente de aniversário. Acredito que a minha nora vai gostar muito. É pelo aniversário dela em 13/10. Obrigada,5,1,sports_leisure,69.9,16.25,5,19,0
"Paguei pelo
Que comprei ",4,1,housewares,77.0,11.87,1,9,0
"",4,1,furniture_decor,159.04,38.02,9,29,0
"Produto não entregue, muda constatemente a data da entrega, ",1,0,sports_leisure,120.0,17.55,38,22,1
"Na foto mostrava duas suspensão, e nas descrição dizia um, logo entendi um par. 
",1,0,auto,165.9,35.23,6,20,0
produto de acordo com as expectativas ,5,1,office_furniture,329.9,67.12,19,38,0
"",4,1,housewares,24.9,12.79,9,18,0
"",1,0,office_furniture,94.9,13.22,21,14,1
"",5,1,computers_accessories,22.32,13.5,10,31,0
"",4,1,watches_gifts,29.9,22.06,14,34,0
"",4,1,toys,139.9,29.38,12,27,0
"",5,1,watches_gifts,55.0,7.65,5,11,0
"veio com manchas de gracha como se tivesse sido recondicionado e não veio com a trava de segurança.Embalado em folhas de jornal numa caixa,não é 100%. lannister.com fiscalizar mais. Espero um contato",1,0,auto,172.2,19.75,20,29,0
"Sei, que não foi entregue no prazo por causa da greve dos caminhoneiros.Obrigada.",5,1,bed_bath_table,129.0,39.19,23,27,0
"Sempre compro no stark e sempre sou bem atendido, site eficiente e produtos de ótima qualidade, recomendo a todos podem comprar de olhos fechados! ",5,1,cool_stuff,99.99,17.95,9,19,0
"Gostei muito! Linda! 
Ainda não usei... não posso avaliar se mantem gelado legal. ",5,1,housewares,130.0,18.49,12,44,0
"Recebi no prazo....................recomendo a loja...................preço bom.......................entregou no prazo, só que o prazo era muito grande..................mas valeu pelo preço..........",3,0,stationery,17.0,15.23,7,31,0
"Sempre que alguma loja envia meus produtos pelos Correios, tenho problemas. Sempre atrasa muito, quando não extravia...
Nesse caso específico o status não é atualizado desde 08/01",1,0,stationery,79.0,32.3,35,32,1
"Está faltando uma cortina, só chego o codgo do produto 996 e eu pedi Bege me entregaram Verde.",1,0,bed_bath_table,199.9,24.22,9,24,0
"",3,0,cool_stuff,139.9,13.11,11,23,0
Apreciei a rapidez da entrega e o valor do produto. ,3,0,musical_instruments,79.9,16.81,7,25,0
"",4,1,toys,187.0,45.11,10,19,0
"Boa tarde!
preciso devolver um lustre e pagar os outros dois,eu cancelei pensando que não ia chegar e acabei pedindo outro e chegou os 3.",5,1,garden_tools,59.0,13.43,15,24,0
"",5,1,toys,59.99,18.96,15,32,0
"",4,1,home_appliances,14.3,18.23,18,20,0
"eu comprei 2luminarias, so que vocês só me mandaram 1 luminária, mandei um email pra vocês falando do meu problema, so que até agora ninguém me enviou nenhum email me dando explicação! 
",2,0,furniture_decor,35.0,24.58,5,30,0
Não veio a nota fiscal,4,1,bed_bath_table,200.0,15.01,4,16,0
"Estou aguardando a dupla de quadros, pois so foram entregues as cortinas!! Apos receber, altero minha avaliação!!!",1,0,bed_bath_table,149.9,32.29,10,21,0
